time_s,gt_pos_x_m,gt_pos_y_m,gt_pos_z_m
17.74,17.70546982,0.3757430863,0
17.76,17.72471289,0.3811932709,0
17.78,17.74394501,0.3866819306,0
17.8,17.76316612,0.3922090436,0
17.82,17.78237613,0.3977745877,0
17.84,17.80157498,0.4033785407,0
17.86,17.82076258,0.4090208801,0
17.88,17.83993886,0.4147015834,0
17.9,17.85910374,0.4204206279,0
17.92,17.87825714,0.4261779907,0
17.94,17.89739899,0.4319736488,0
17.96,17.9165292,0.4378075789,0
17.98,17.93564772,0.4436797578,0
18,17.95475445,0.4495901619,0
18.02,17.97384932,0.4555387677,0
18.04,17.99293225,0.4615255512,0
18.06,18.01200318,0.4675504887,0
18.08,18.03106201,0.4736135559,0
18.1,18.05010868,0.4797147286,0
18.12,18.06914311,0.4858539825,0
18.14,18.08816523,0.4920312929,0
18.16,18.10717495,0.4982466351,0
18.18,18.1261722,0.5044999844,0
18.2,18.14515691,0.5107913156,0
18.22,18.164129,0.5171206036,0
18.24,18.18308839,0.5234878231,0
18.26,18.20203501,0.5298929486,0
18.28,18.22096878,0.5363359546,0
18.3,18.23988963,0.5428168151,0
18.32,18.25879747,0.5493355044,0
18.34,18.27769225,0.5558919963,0
18.36,18.29657387,0.5624862646,0
18.38,18.31544226,0.569118283,0
18.4,18.33429736,0.5757880248,0
18.42,18.35313907,0.5824954635,0
18.44,18.37196734,0.5892405721,0
18.46,18.39078207,0.5960233238,0
18.48,18.4095832,0.6028436914,0
18.5,18.42837066,0.6097016475,0
18.52,18.44714436,0.6165971648,0
18.54,18.46590423,0.6235302157,0
18.56,18.4846502,0.6305007725,0
18.58,18.50338219,0.6375088072,0
18.6,18.52210013,0.6445542919,0
18.62,18.54080393,0.6516371983,0
18.64,18.55949354,0.6587574981,0
18.66,18.57816887,0.6659151629,0
18.68,18.59682984,0.673110164,0
18.7,18.61547639,0.6803424727,0
18.72,18.63410843,0.6876120599,0
18.74,18.6527259,0.6949188967,0
18.76,18.67132872,0.7022629538,0
18.78,18.68991681,0.7096442018,0
18.8,18.7084901,0.7170626111,0
18.82,18.72704852,0.7245181523,0
18.84,18.74559199,0.7320107953,0
18.86,18.76412044,0.7395405102,0
18.88,18.78263379,0.747107267,0
18.9,18.80113197,0.7547110353,0
18.92,18.81961491,0.7623517847,0
18.94,18.83808253,0.7700294847,0
18.96,18.85653476,0.7777441046,0
18.98,18.87497152,0.7854956134,0
19,18.89339273,0.7932839803,0
19.02,18.91179834,0.8011091739,0
19.04,18.93018826,0.8089711632,0
19.06,18.94856242,0.8168699165,0
19.08,18.96692074,0.8248054023,0
19.1,18.98526316,0.8327775888,0
19.12,19.00358959,0.8407864443,0
19.14,19.02189998,0.8488319365,0
19.16,19.04019423,0.8569140334,0
19.18,19.05847228,0.8650327026,0
19.2,19.07673406,0.8731879117,0
19.22,19.09497949,0.881379628,0
19.24,19.1132085,0.8896078187,0
19.26,19.13142102,0.897872451,0
19.28,19.14961698,0.9061734918,0
19.3,19.16779629,0.9145109078,0
19.32,19.1859589,0.9228846658,0
19.34,19.20410472,0.9312947322,0
19.36,19.22223368,0.9397410734,0
19.38,19.24034571,0.9482236557,0
19.4,19.25844075,0.956742445,0
19.42,19.27651871,0.9652974073,0
19.44,19.29457952,0.9738885084,0
19.46,19.31262312,0.9825157139,0
19.48,19.33064942,0.9911789893,0
19.5,19.34865836,0.9998783,0
19.52,19.36664987,1.008613611,0
19.54,19.38462387,1.017384888,0
19.56,19.40258029,1.026192095,0
19.58,19.42051906,1.035035197,0
19.6,19.43844011,1.043914159,0
19.62,19.45634337,1.052828946,0
19.64,19.47422876,1.061779521,0
19.66,19.49209622,1.070765849,0
19.68,19.50994566,1.079787894,0
19.7,19.52777703,1.088845619,0
19.72,19.54559024,1.09793899,0
19.74,19.56338523,1.107067968,0
19.76,19.58116193,1.116232519,0
19.78,19.59892027,1.125432604,0
19.8,19.61666017,1.134668187,0
19.82,19.63438156,1.143939232,0
19.84,19.65208437,1.153245701,0
19.86,19.66976854,1.162587557,0
19.88,19.68743398,1.171964763,0
19.9,19.70508064,1.181377281,0
19.92,19.72270844,1.190825073,0
19.94,19.7403173,1.200308102,0
19.96,19.75790717,1.209826329,0
19.98,19.77547796,1.219379718,0
20,19.79302961,1.228968228,0
20.02,19.81056205,1.238591823,0
20.04,19.82807521,1.248250464,0
20.06,19.84556901,1.257944111,0
20.08,19.8630434,1.267672727,0
20.1,19.88049829,1.277436272,0
20.12,19.89793361,1.287234707,0
20.14,19.91534931,1.297067993,0
20.16,19.93274531,1.306936091,0
20.18,19.95012153,1.316838961,0
20.2,19.96747791,1.326776564,0
20.22,19.98481439,1.33674886,0
20.24,20.00213088,1.346755808,0
20.26,20.01942733,1.35679737,0
20.28,20.03670366,1.366873504,0
20.3,20.0539598,1.376984171,0
20.32,20.07119568,1.38712933,0
20.34,20.08841124,1.39730894,0
20.36,20.10560641,1.407522961,0
20.38,20.12278112,1.417771352,0
20.4,20.13993529,1.428054072,0
20.42,20.15706886,1.43837108,0
20.44,20.17418177,1.448722334,0
20.46,20.19127394,1.459107793,0
20.48,20.2083453,1.469527416,0
20.5,20.22539579,1.47998116,0
20.52,20.24242534,1.490468985,0
20.54,20.25943388,1.500990847,0
20.56,20.27642134,1.511546706,0
20.58,20.29338766,1.522136519,0
20.6,20.31033276,1.532760243,0
20.62,20.32725658,1.543417836,0
20.64,20.34415905,1.554109255,0
20.66,20.36104011,1.564834458,0
20.68,20.37789968,1.575593401,0
20.7,20.3947377,1.586386042,0
20.72,20.4115541,1.597212337,0
20.74,20.42834881,1.608072244,0
20.76,20.44512177,1.618965718,0
20.78,20.46187291,1.629892716,0
